#	src	l           b       nhi(e20) nhi_er thin      thin_er    cnm    cnm_er	  wnm	  wnm_er
==========================================================================================================
0    3C33	129.4481  -49.3244  002.78  000.04  002.8239  000.0680  001.64  000.0232  001.14  000.0357
1    3C18	118.6218  -52.7266  005.99  000.95  005.1766  000.0315  005.24  000.9450  000.75  000.0561
2    3C141.0	174.5324  -01.3112  052.69  001.48  040.9027  000.5363  023.64  001.2509  029.05  000.7996
3    3C142.1	197.6157  -14.5115  021.96  002.30  017.2260  000.7261  008.10  002.2459  013.86  000.5171
4    3C138	187.4052  -11.3437  019.84  000.99  017.4826  000.2399  010.69  000.9004  009.15  000.4088
5    3C75-2	170.2958  -44.9192  008.23  000.21  007.7794  000.8588  002.14  000.1823  006.09  000.1052
6    3C75-1	170.2162  -44.9112  007.97  000.20  007.5283  000.9967  002.05  000.1777  005.92  000.0943
7    3C409	063.3985  -06.1223  025.81  001.12  021.1972  000.2256  006.07  000.9729  019.74  000.5573
8    3C33-1	129.4392  -49.3432  002.81  000.12  002.7894  000.8383  001.95  000.0886  000.86  000.0754
9    3C79	164.1487  -34.4565  009.37  001.03  008.6230  000.6808  006.91  000.7731  002.46  000.6812
10    3C78	174.8581  -44.5130  010.06  000.46  009.0508  000.1794  005.81  000.4478  004.25  000.1151
11    3C98-1	179.8593  -31.0859  010.37  000.34  009.7853  000.7360  005.99  000.3181  004.38  000.1101
12    3C75	170.2558  -44.9111  007.89  000.18  007.4489  000.0798  002.49  000.1558  005.40  000.0809
13    T0526+24	181.3551  -05.1933  096.85  065.03  031.0605  000.8091  070.52  065.0118  026.33  001.3971
14    3C133	177.7258  -09.9125  028.50  001.51  023.5833  000.1054  009.35  001.4039  019.15  000.5613
15    3C132	178.8598  -12.5219  023.81  001.28  020.0221  000.1736  007.65  001.1807  016.16  000.5067
16    3C131	171.4368  -07.7967  028.55  001.64  022.3410  000.4830  011.28  001.4580  017.27  000.7564
17    3C310	038.5004  060.2098  003.71  000.10  003.4816  000.0582  001.11  000.0773  002.60  000.0557
18    3C315	039.3605  058.3030  004.77  000.38  004.1126  000.0432  002.22  000.2061  002.55  000.3217
19    3C109	181.8280  -27.7769  020.82  001.00  013.9742  000.5894  015.51  000.7712  005.31  000.6320
20    3C234	200.2050  052.7049  001.61  000.04  001.6383  001.0084  000.00  000.0000  001.61  000.0437
21    3C236	190.0640  053.9808  001.21  000.04  001.1817  001.0788  000.00  000.0000  001.21  000.0386
22    3C237	232.1174  046.6276  002.20  000.08  001.9979  000.0974  001.55  000.0275  000.65  000.0743
23    3C154	185.5932  004.0030  035.58  001.40  031.8387  000.1033  008.86  001.3561  026.72  000.3408
24    3C228.0	220.8313  046.6355  002.61  000.04  002.6652  000.1580  000.37  000.0215  002.24  000.0369
25    4C22.12	188.0524  000.0470  085.23  015.23  040.8080  000.2545  053.65  014.7960  031.58  003.6096
26    NRAO140	159.0002  -18.7646  029.49  018.23  010.9760  000.8558  013.42  006.3833  016.07  017.0799
27    3C318	029.9821  054.7856  004.75  000.15  004.2153  000.0562  001.75  000.1441  003.00  000.0483
28    3C64	157.7658  -48.2032  006.33  000.18  006.0738  000.7347  002.91  000.1590  003.42  000.0760
29    3C454.0	088.1001  -35.9413  005.38  000.11  005.2829  000.0967  001.25  000.0488  004.13  000.0981
30    P0531+19	186.7634  -07.1085  023.84  000.65  022.2656  000.2771  009.54  000.6101  014.30  000.2157
31    3C454.3	086.1110  -38.1833  006.53  000.13  006.3745  000.0898  001.73  000.0577  004.80  000.1147
32    3C33-2	129.4620  -49.2774  002.92  000.15  002.8762  001.0015  001.90  000.1174  001.02  000.0973
33    P0820+22	201.3636  029.6761  004.23  000.21  004.2229  000.9384  000.00  000.0000  004.23  000.2114
34    3C333	037.3001  042.9721  005.09  000.33  004.5142  000.0430  001.10  000.3239  003.99  000.0814
35    3C192	197.9126  026.4098  003.97  000.04  003.9596  000.0641  000.47  000.0285  003.50  000.0328
36    3C98	179.8374  -31.0490  011.02  000.41  009.9114  001.1649  006.10  000.3974  004.92  000.0959
37    3C273	289.9484  064.3586  001.93  000.02  002.0302  000.1078  000.50  000.0140  001.43  000.0141
38    3C267.0	256.3418  070.1102  002.33  000.03  002.3236  000.3146  000.00  000.0000  002.33  000.0270
39    DW0742+10	209.7960  016.5911  002.43  000.04  002.4383  000.7975  000.00  000.0000  002.43  000.0435
40    P1055+20	222.5101  063.1302  001.57  000.04  001.5733  000.0607  000.36  000.0267  001.21  000.0234
41    3C433	074.4772  -17.6950  007.89  000.15  007.7887  000.0794  002.83  000.1323  005.06  000.0658
42    3C172.0	191.2045  013.4105  007.71  000.14  007.5437  000.9696  000.40  000.0609  007.31  000.1219
43    P0428+20	176.8082  -18.5568  023.89  002.47  017.6561  000.5939  006.90  002.3810  016.99  000.6485
44    4C19.44	008.9924  073.0418  002.65  000.04  002.6324  000.5363  000.00  000.0000  002.65  000.0449
45    3C353	021.1108  019.8770  010.85  000.79  008.8309  000.2239  007.01  000.7826  003.84  000.0867
46    3C167	207.3119  001.1529  050.24  002.41  042.9875  000.0537  030.85  002.2877  019.39  000.7583
47    3C293	054.6071  076.0603  001.28  000.05  001.2956  000.9682  000.00  000.0000  001.28  000.0457
48    3C98-2	179.8288  -31.0241  010.25  000.40  009.5056  001.0454  005.06  000.3809  005.19  000.1236
49    3C105	187.6326  -33.6090  014.68  001.47  009.5264  000.6114  011.42  001.4534  003.26  000.2104
50    3C120	190.3728  -27.3973  015.94  001.87  009.4217  000.0864  007.90  001.4514  008.04  001.1814
51    CTA21	166.6357  -33.5961  009.56  000.31  008.8116  000.6781  003.13  000.3008  006.43  000.0862
52    3C123	170.5815  -11.6608  027.38  003.38  015.7729  000.8465  007.62  003.2954  019.76  000.7589
53    4C20.33	020.1848  066.8341  002.69  000.05  002.6865  000.2204  000.53  000.0292  002.16  000.0394
54    T0556+19	190.0893  -02.1665  053.63  031.90  046.3589  000.7926  000.00  000.0000  053.63  031.9035
